3130,AGCQUX  GPYHQO,298,WQ Sweden
3883,WRIFSP  LXRHSD,300,YM Sweden
3103,NDEUQO  NTBFRM,328,BX Sweden
4315,UPAPXV  AGKPMC,614,EL Sweden
9024,QCDWLW  AZBMKM,655,SB Sweden
8411,EIWDGF  BPSGJC,362,SK Sweden
8275,UUOELW  WABDPA,978,MH Sweden
9529,FTEPYY  JUBTLB,602,VC Sweden
9941,HLVFCV  ATMGGT,225,LK Sweden
9235,VSDQIE  JUAQYC,311,EV Sweden
9713,ATFLQA  IFTHFH,561,ZF Sweden
2734,MWIEPR  QYLIJE,290,LSYes
5275,BPBIBP  WEAOAR,934,EFYes
9471,FIWKPR  QXOXCP,330,QXYes
5937,LXAMIZ  WLOORP,385,OLYes
2637,WFJCSP  QWYUDY,974,USYes
8378,SQPXSE  BKDZSU,282,MWYes
4278,GQDKCH  MSKBKH,778,WWYes
3332,BRCAKR  AWPFTV,630,GDYes
2989,TLNQTN  XMMKBR,897,NEYes
9212,PQEMTP  JTKILF,724,THYes
8287,NZNZGO  PVTMCO,364,MSNo
9860,KOPNPN  SEWOIM,457,WLNo
8676,ALOSMC  HGIGCC,693,TSNo
8069,HVEGVU  LNSEAQ,774,EXNo
9889,ILCBQI  WPSHHH,710,IANo
9083,JVMQOU  SFIUVS,841,BCNo
8653,QWIMLL  OGLSEU,235,PYNo
9541,MXGPTP  ACJFCQ,651,EKNo
9051,OILIQO  YWRAEX,439,RANo
9665,CZJYKU  RYLBNS,530,PENo
9581,PEKCDU  MORMDN,693,WOIsrael
9565,HHEVYJ  YRSAVI,239,XKIsrael
9877,HOYPJW  YNOUSM,815,YPIsrael
9386,DTLUXB  FVKGNQ,763,SDIsrael
8595,BXYKPW  PSXWGQ,909,DSIsrael
8598,OCRBHO  QCPKFI,951,ZRIsrael
9713,ATFLQA  IFTHFH,702,ZOIsrael
2734,MWIEPR  QYLIJE,723,TTIsrael
5275,BPBIBP  WEAOAR,665,CCIsrael
9471,FIWKPR  QXOXCP,517,UJIsrael
5937,LXAMIZ  WLOORP,906,GQIsrael
2637,WFJCSP  QWYUDY,690,JCIsrael
8378,SQPXSE  BKDZSU,691,JEIsrael
4278,GQDKCH  MSKBKH,879,RFAmeRica
3332,BRCAKR  AWPFTV,935,CHAmeRica
9179,RXJTBH  ZXKVFR,968,XZAmeRica
9066,FEQVDB  AXTUGV,385,WXAmeRica
8351,SCAVRB  GQEQXM,746,HWAmeRica
9729,BLCXXW  SQFJBK,921,USAmeRica
