8361,GZRDZG  TUJHAW,965,PM Sweden
9023,OAMVNK  YUWLHA,285,HO Sweden
9397,EQGLUP  IGNDCP,986,FH Sweden
9944,USNJKP  SDYHOV,749,FE Sweden
9542,JVOMNH  SJVKMM,721,JP Sweden
9530,CHLKPD  KHCGXP,483,ID Sweden
9369,ZFAHEN  PUXOWI,289,JP Sweden
8177,OGZIKX  TUNZDP,474,PY Sweden
5606,UOVNPG  POIFEP,989,ZS Sweden
9825,IEJJBZ  HGSBOJ,516,CE Sweden
6242,RJZTRK  UPWDXR,252,UG Sweden
4299,QVJVKZ  MJNGWA,586,MLYes
9713,GOXHCF  TMRETO,649,FCYes
2734,RBOZZE  EBFKTM,455,LSYes
8931,KKXFRT  XATWWS,930,URYes
9880,DCNDVM  SDEHPP,280,XZYes
9420,EEPYOM  WAOPXI,797,HDYes
8332,SZDBFN  ZLTDOU,449,RQYes
9825,LZVIPG  YHMAPU,702,ERYes
6242,RCHFKQ  CSZGKQ,438,JKYes
4299,HHRUKI  PNEDBE,984,GMYes
9713,DFTMNH  HRSFZU,999,DSNo
2734,DWLWND  GTWBUI,668,HANo
5275,XBKVIQ  PRMWPH,613,IGNo
9471,QDGECB  QEISYH,655,LVNo
5937,AGEGRM  AHYYVY,229,TTNo
2637,EMWGZG  ZADBEY,237,LONo
8378,DKMFIO  HZMMTP,925,QVNo
4278,YWKTDJ  RXNSVR,557,DTNo
3332,BGSAOF  DDBNCO,540,AENo
2989,SYZLHT  RRBDOC,470,RCNo
9922,WWCMBO  RWRFMW,818,BCIsrael
3639,PLVPDI  DVKQIL,815,MLIsrael
2149,YHOSPN  GYJNUG,695,UJIsrael
6940,LGUYFC  ZAEAHH,427,NNIsrael
3603,KWDCIH  TJBYQW,754,GHIsrael
7200,RLLRIP  DZEAVV,817,QAIsrael
4206,ATFKCQ  MMREFC,442,NMIsrael
9872,THTSEI  YCOETO,331,VUIsrael
8557,DQSQVR  PWEEEK,812,RYIsrael
9696,WZQPNG  QLTYNM,400,LMIsrael
8801,TJNZVU  HYMWZM,386,OIIsrael
9980,SFTWYY  XLDFYZ,672,IIIsrael
8283,QRITKF  YPVZEZ,884,FTIsrael
9496,ADGOCG  WCZKZC,226,XAAmeRica
8359,DCZEET  DPNZKN,849,HYAmeRica
9372,FLRAWR  WCIFRO,390,WEAmeRica
8911,YOTVJY  TUQHNU,876,YLAmeRica
9107,VUNPVE  XGVLOM,432,GYAmeRica
9027,WVHQYW  QGMPRH,779,NKAmeRica
