9830,FQREEV  YDOGTG,684,JB Sweden
8123,ZUAUDU  AWAJVI,827,CT Sweden
8956,JNADXZ  UKLNWJ,794,RD Sweden
9193,JHPVPC  XQJUKC,530,DD Sweden
8180,TQFBIN  FACMPU,543,GE Sweden
9540,ONCLVH  KRDYYP,433,HN Sweden
8352,PMCZVU  CCFZZZ,229,HE Sweden
9670,HKAMVE  CKKLYV,667,LJ Sweden
9443,IEWBCE  SOQEKW,463,MA Sweden
9438,EZSMOC  PLTZIG,559,JI Sweden
8365,IZZCYE  NYMKKO,624,LM Sweden
9134,CSEUEF  MPZOTM,916,GUYes
9366,WJRZPD  HDRTHA,686,JCYes
8713,WDTLLR  ROBLXU,652,EFYes
9233,HEWMHD  WKLTSR,472,APYes
9797,MKHAPG  FVXYXU,899,UIYes
9824,PAOLFR  VGNAAA,558,MQYes
9200,DTCSZN  JHLHVK,927,GSYes
8652,KZVYEC  ZFTSTZ,324,FXYes
8552,CHBYRJ  CSEEAQ,914,ACYes
8599,GQXPWA  JEKWEQ,357,PIYes
9560,UMUMRV  LRLBPR,566,UYNo
9578,VQDRFB  WUZQLJ,596,ZYNo
9171,VVBKYC  TEBUDB,359,OFNo
9518,DNVSUP  LMQOXJ,459,WRNo
8725,SXSRCH  LJEBDM,989,LGNo
9820,DSNDNP  RAKXVZ,448,NRNo
9310,MJJIED  CSHBLK,240,LTNo
9395,GMRJDN  XRGWHK,855,ZINo
9024,QCDWLW  AZBMKM,474,ASNo
8411,EIWDGF  BPSGJC,939,UZNo
8275,UUOELW  WABDPA,293,ZIIsrael
9529,FTEPYY  JUBTLB,912,EBIsrael
9941,HLVFCV  ATMGGT,596,GIIsrael
9235,VSDQIE  JUAQYC,603,QOIsrael
9421,QBAMVQ  EDXNEC,402,IKIsrael
8378,DKMFIO  HZMMTP,979,OAIsrael
4278,YWKTDJ  RXNSVR,853,OOIsrael
3332,BGSAOF  DDBNCO,291,RQIsrael
2989,SYZLHT  RRBDOC,786,GKIsrael
9922,WWCMBO  RWRFMW,467,QNIsrael
3639,PLVPDI  DVKQIL,446,GZIsrael
2149,YHOSPN  GYJNUG,354,BKIsrael
6940,LGUYFC  ZAEAHH,523,CHIsrael
9774,SYJYVD  XWNPFU,931,XWAmeRica
9950,QMQMCR  LUBKZJ,686,BHAmeRica
8008,VUHMOS  KFCZBP,968,PKAmeRica
9266,ZVAIWP  RBBDKG,560,GQAmeRica
9763,DSNVWV  POPXDZ,803,BUAmeRica
9303,FXQFGX  XMQVAK,738,GUAmeRica
